datetime,cpu,mem
Wed Jul 31 19:56:37 GMT 2019,7.1,94466
Wed Jul 31 19:56:37 GMT 2019,7.1,94762
Wed Jul 31 19:56:37 GMT 2019,7.1,120936
Wed Jul 31 19:56:37 GMT 2019,7.1,131859
Wed Jul 31 19:56:38 GMT 2019,7.1,131889
Wed Jul 31 19:56:38 GMT 2019,7.1,148807
Wed Jul 31 19:56:38 GMT 2019,7.1,148795
Wed Jul 31 19:56:38 GMT 2019,7.1,148793
Wed Jul 31 19:56:39 GMT 2019,7.1,148752
Wed Jul 31 19:56:39 GMT 2019,7.1,148750
Wed Jul 31 19:56:39 GMT 2019,7.1,148750
Wed Jul 31 19:56:39 GMT 2019,7.1,148750
Wed Jul 31 19:56:40 GMT 2019,7.1,148750
Wed Jul 31 19:56:40 GMT 2019,7.1,148750
Wed Jul 31 19:56:40 GMT 2019,7.1,149064
Wed Jul 31 19:56:40 GMT 2019,7.1,138977
Wed Jul 31 19:56:41 GMT 2019,7.1,156162
Wed Jul 31 19:56:41 GMT 2019,7.1,157858
Wed Jul 31 19:56:41 GMT 2019,7.1,158971
Wed Jul 31 19:56:42 GMT 2019,7.1,165609
Wed Jul 31 19:56:42 GMT 2019,7.1,167193
Wed Jul 31 19:56:42 GMT 2019,7.1,167193
Wed Jul 31 19:56:42 GMT 2019,7.1,218027
Wed Jul 31 19:56:43 GMT 2019,7.1,168252
Wed Jul 31 19:56:43 GMT 2019,7.1,168050
Wed Jul 31 19:56:43 GMT 2019,7.1,168054
Wed Jul 31 19:56:44 GMT 2019,7.1,168054
Wed Jul 31 19:56:44 GMT 2019,7.1,168054
Wed Jul 31 19:56:44 GMT 2019,7.1,168054
Wed Jul 31 19:56:44 GMT 2019,7.1,168406
Wed Jul 31 19:56:45 GMT 2019,7.1,151090
Wed Jul 31 19:56:45 GMT 2019,7.1,151257
Wed Jul 31 19:56:45 GMT 2019,7.1,151250
Wed Jul 31 19:56:46 GMT 2019,7.1,150710
Wed Jul 31 19:56:46 GMT 2019,7.1,150726
Wed Jul 31 19:56:46 GMT 2019,7.1,167907
Wed Jul 31 19:56:47 GMT 2019,7.1,168067
Wed Jul 31 19:56:47 GMT 2019,7.1,168067
Wed Jul 31 19:56:47 GMT 2019,7.1,168067
Wed Jul 31 19:56:47 GMT 2019,7.1,168067
Wed Jul 31 19:56:48 GMT 2019,7.1,152333
Wed Jul 31 19:56:48 GMT 2019,7.1,168613
Wed Jul 31 19:56:48 GMT 2019,7.1,168665
Wed Jul 31 19:56:49 GMT 2019,7.1,168665
Wed Jul 31 19:56:49 GMT 2019,7.1,168581
Wed Jul 31 19:56:49 GMT 2019,7.1,168581
Wed Jul 31 19:56:49 GMT 2019,7.1,168581
Wed Jul 31 19:56:50 GMT 2019,7.1,168581
Wed Jul 31 19:56:50 GMT 2019,7.1,168599
Wed Jul 31 19:56:50 GMT 2019,7.1,168599
Wed Jul 31 19:56:51 GMT 2019,7.1,168527
Wed Jul 31 19:56:51 GMT 2019,7.1,168543
Wed Jul 31 19:56:51 GMT 2019,7.1,168547
Wed Jul 31 19:56:51 GMT 2019,7.1,168551
Wed Jul 31 19:56:52 GMT 2019,7.1,168559
Wed Jul 31 19:56:52 GMT 2019,7.1,168633
Wed Jul 31 19:56:52 GMT 2019,7.1,168669
Wed Jul 31 19:56:53 GMT 2019,7.1,168828
Wed Jul 31 19:56:53 GMT 2019,7.1,169077
Wed Jul 31 19:56:53 GMT 2019,7.1,169218
Wed Jul 31 19:56:54 GMT 2019,7.1,169274
Wed Jul 31 19:56:54 GMT 2019,7.1,169314
Wed Jul 31 19:56:54 GMT 2019,7.1,169366
Wed Jul 31 19:56:54 GMT 2019,7.1,169398
Wed Jul 31 19:56:55 GMT 2019,7.1,169454
Wed Jul 31 19:56:55 GMT 2019,7.1,169498
Wed Jul 31 19:56:55 GMT 2019,7.1,169522
Wed Jul 31 19:56:56 GMT 2019,7.1,169566
Wed Jul 31 19:56:56 GMT 2019,7.1,169550
Wed Jul 31 19:56:56 GMT 2019,7.1,169618
Wed Jul 31 19:56:56 GMT 2019,7.1,169654
Wed Jul 31 19:56:57 GMT 2019,7.1,169674
Wed Jul 31 19:56:57 GMT 2019,7.1,169694
Wed Jul 31 19:56:57 GMT 2019,7.1,169670
Wed Jul 31 19:56:58 GMT 2019,7.1,169678
Wed Jul 31 19:56:58 GMT 2019,7.1,169682
Wed Jul 31 19:56:58 GMT 2019,7.1,169686
Wed Jul 31 19:56:59 GMT 2019,7.1,169706
Wed Jul 31 19:56:59 GMT 2019,7.1,169698
Wed Jul 31 19:56:59 GMT 2019,7.1,169702
Wed Jul 31 19:57:00 GMT 2019,7.1,169678
Wed Jul 31 19:57:00 GMT 2019,7.1,169690
Wed Jul 31 19:57:00 GMT 2019,7.1,169710
Wed Jul 31 19:57:00 GMT 2019,7.1,169710
