App,Package,Start Time,Duration,Filename
"System",,"Jul 31, 2019 @ 09:56:37 PM","40 sec","Trepn_2019.07.31_215636.db"

Time  [ms],"Battery Status",Time  [ms],"Memory Usage [KB]",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU8 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"CPU5 Load [%]",Time  [ms],"CPU6 Load [%]",Time  [ms],"CPU7 Load [%]",Time  [ms],"CPU8 Load [%]",
141,3,132,2517916,139,2646124,1819863,144,180000,145,0,55,1555200,132,1555200,134,1555200,136,1555200,137,1958400,139,1958400,141,1958400,143,1958400,131,40,134,47,135,29,137,40,139,53,140,68,142,0,144,6,
195,3,184,2540164,193,3098427,2272166,200,180000,201,0,181,1555200,185,1555200,187,1555200,189,1555200,191,1958400,194,1958400,196,1958400,199,1958400,183,60,186,50,188,75,191,40,193,66,195,20,198,0,200,0,
286,3,282,2546924,285,3015117,2188856,287,180000,287,33,281,1555200,283,1555200,283,1555200,284,1555200,284,1958400,285,1958400,286,1958400,286,1958400,282,70,283,75,284,60,284,72,285,77,286,22,286,0,287,0,
387,3,383,2547144,387,2360461,1534200,389,180000,389,33,381,1555200,383,1555200,384,1555200,385,1555200,386,1958400,387,1958400,388,1958400,388,1958400,382,50,384,25,385,33,386,20,387,83,387,11,388,0,389,0,
494,3,485,2546752,492,1642134,815873,497,180000,498,33,482,1555200,486,1555200,487,1555200,489,1555200,491,633600,492,633600,494,633600,496,633600,484,44,487,63,489,30,490,25,492,20,494,10,495,0,497,0,
600,3,587,2548056,598,1955564,1129303,603,180000,603,33,583,1555200,588,1555200,590,1555200,594,1555200,596,1824000,598,1824000,600,1824000,602,1824000,586,66,589,25,593,11,595,36,597,66,600,10,601,0,603,0,
694,3,685,2547912,693,2335493,1509232,699,180000,699,0,683,1555200,686,1555200,688,1555200,689,1555200,691,1958400,693,1958400,695,1958400,697,1958400,685,62,687,42,689,33,691,41,692,60,694,10,696,0,698,0,
796,3,786,2548992,794,1599624,773363,800,180000,801,0,783,1555200,786,1555200,788,1555200,790,1555200,792,1248000,794,1248000,796,1248000,798,1248000,785,63,788,45,790,30,792,55,793,22,795,0,797,0,799,0,
896,3,886,2549448,894,1598583,772322,901,180000,901,0,883,1555200,887,1555200,889,1555200,891,1555200,893,1958400,895,1958400,897,1958400,899,1958400,885,28,888,0,890,22,892,25,894,100,896,0,898,0,900,0,
998,3,987,2549424,996,999835,173574,1002,180000,1003,0,984,1555200,987,1555200,989,1555200,991,1555200,994,633600,996,633600,998,633600,1000,633600,986,66,989,33,991,10,994,28,996,10,998,0,1000,0,1002,0,
1105,3,1089,2549460,1103,982302,156041,1109,180000,1109,0,1085,1555200,1091,1555200,1096,1555200,1099,1555200,1101,1824000,1103,1824000,1105,1824000,1107,1824000,1087,50,1096,55,1098,22,1100,10,1102,0,1104,70,1106,0,1108,0,
1196,3,1187,2548928,1194,2213914,1387653,1199,180000,1199,0,1185,1555200,1188,1555200,1189,1555200,1191,1555200,1193,1958400,1194,1958400,1196,1958400,1197,1958400,1186,60,1189,40,1191,30,1192,22,1194,44,1195,66,1197,0,1198,0,
1300,3,1288,2550900,1297,2592702,1766441,1305,180000,1306,0,1286,1555200,1289,1555200,1291,1555200,1293,1555200,1296,1958400,1298,1958400,1300,1958400,1302,1958400,1287,30,1290,66,1293,20,1295,0,1297,100,1299,11,1302,0,1304,0,
1396,3,1388,2551248,1395,1794145,967884,1399,180000,1400,0,1386,1555200,1389,1555200,1391,1555200,1392,1555200,1394,1958400,1395,1958400,1397,1958400,1398,1958400,1387,63,1390,12,1392,11,1393,0,1395,100,1396,90,1398,0,1399,0,
1501,3,1489,2554620,1498,2891789,2065528,1505,180000,1505,0,1487,1555200,1490,1555200,1492,1555200,1495,1555200,1497,1958400,1499,1958400,1501,1958400,1503,1958400,1488,63,1492,30,1494,11,1496,33,1498,90,1500,0,1502,9,1504,0,
1598,3,1590,2555268,1596,1715360,889099,1602,180000,1603,0,1587,1555200,1590,1555200,1592,1555200,1593,1555200,1595,1958400,1597,1958400,1598,1958400,1600,1958400,1589,54,1592,36,1593,22,1595,0,1596,77,1598,0,1600,10,1601,0,
1704,3,1691,2554992,1701,947747,121486,1709,180000,1709,0,1688,1555200,1692,1555200,1694,1555200,1696,1555200,1699,1958400,1701,1958400,1704,1958400,1706,1958400,1690,33,1693,20,1696,20,1698,0,1701,30,1703,0,1706,0,1708,0,
1801,3,1791,2555600,1799,1256929,430668,1804,180000,1805,0,1788,1555200,1792,1555200,1794,1555200,1795,1555200,1797,1248000,1799,1248000,1801,1248000,1803,1248000,1790,66,1793,60,1795,12,1797,22,1798,22,1800,0,1802,0,1804,0,
1903,3,1891,2555872,1901,1204227,377966,1908,180000,1909,0,1888,1555200,1892,1555200,1894,1555200,1896,1555200,1899,1958400,1901,1958400,1903,1958400,1906,1958400,1890,20,1894,0,1896,0,1898,0,1901,100,1903,0,1905,0,1907,0,
2003,3,1992,2555580,2000,1078706,252445,2007,180000,2008,0,1989,1555200,1992,1555200,1994,1555200,1996,1555200,1998,633600,2001,633600,2003,633600,2005,633600,1990,60,1994,33,1996,22,1998,33,2000,10,2002,0,2004,0,2007,0,
2108,3,2092,2555856,2103,1467746,641485,2111,180000,2111,0,2089,1555200,2093,1555200,2095,1555200,2097,1555200,2099,1536000,2103,1824000,2108,1824000,2110,1824000,2091,44,2095,30,2097,44,2099,25,2102,63,2107,0,2110,0,2111,0,
2194,3,2191,2554712,2193,1356562,530301,2195,180000,2195,0,2189,1555200,2191,1555200,2192,1555200,2192,1555200,2193,1958400,2193,1958400,2194,1958400,2195,1958400,2190,27,2192,22,2192,10,2193,0,2193,88,2194,11,2195,0,2195,0,
