App,Package,Start Time,Duration,Filename
"System",,"Aug 1, 2019 @ 11:12:54 AM","41 sec","Trepn_2019.08.01_111253.db"

Time  [ms],"Battery Status",Time  [ms],"Memory Usage [KB]",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU8 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"CPU5 Load [%]",Time  [ms],"CPU6 Load [%]",Time  [ms],"CPU7 Load [%]",Time  [ms],"CPU8 Load [%]",
133,3,123,2518484,131,968476,135669,137,0,137,0,57,1555200,124,1555200,126,1555200,128,1555200,129,1958400,131,1958400,134,1958400,135,1958400,123,23,125,21,127,13,129,23,131,25,133,92,135,78,137,0,
184,3,175,2531644,182,2843068,2010261,188,0,189,0,172,1555200,175,1555200,177,1555200,179,1555200,181,1958400,183,1958400,185,1958400,187,1958400,174,50,176,25,178,50,180,20,182,0,184,80,186,0,188,0,
285,3,275,2553976,283,2853349,2020542,290,0,291,0,273,1555200,276,1555200,277,1555200,279,1555200,282,1958400,284,1958400,286,1958400,288,1958400,274,70,277,60,279,54,281,66,283,20,285,9,287,0,289,0,
386,3,376,2555064,384,2038015,1205208,388,0,388,0,373,1555200,376,1555200,378,1555200,380,1555200,382,1958400,384,1958400,386,1958400,387,1958400,375,54,378,40,379,30,381,33,383,77,385,0,387,20,388,0,
486,3,476,2555892,484,1389500,556693,490,0,491,0,474,1555200,477,1555200,479,1555200,481,1555200,483,633600,485,633600,487,633600,489,633600,476,37,478,37,480,50,482,38,484,9,486,0,488,0,490,0,
589,3,577,2556408,587,1655138,822331,593,0,593,0,574,1555200,578,1555200,580,1555200,584,1555200,586,1824000,587,1824000,590,1824000,592,1958400,576,54,580,33,583,10,585,33,587,77,589,0,591,0,592,0,
679,3,676,2556096,679,1019139,186332,681,0,681,0,675,1248000,677,1248000,677,1248000,678,1248000,678,1958400,679,1958400,680,1958400,680,1958400,676,33,677,54,678,0,678,11,679,50,679,0,680,0,681,0,
786,3,778,2556844,785,1028516,195709,790,0,791,0,775,1555200,778,1555200,780,1555200,782,1555200,783,633600,785,633600,787,633600,788,633600,777,37,779,60,781,11,783,33,784,10,786,10,788,0,790,0,
892,3,879,2556844,889,1487293,654486,897,0,897,0,876,1248000,879,1248000,882,1248000,885,1248000,887,1958400,889,1958400,892,1958400,895,1958400,878,41,881,11,884,20,886,10,889,100,892,0,894,0,896,0,
994,3,980,2556296,992,392934,0,1000,0,1000,0,976,960000,980,960000,983,960000,986,960000,989,633600,993,633600,995,633600,997,633600,978,54,983,45,986,0,989,10,992,20,994,0,997,0,999,0,
1092,3,1080,2556860,1090,1369487,536680,1097,0,1098,0,1076,1555200,1080,1555200,1083,1555200,1085,1555200,1088,633600,1090,633600,1093,633600,1095,633600,1079,66,1082,45,1085,30,1087,50,1090,0,1092,0,1095,0,1097,0,
1191,3,1180,2557016,1189,1655138,822331,1195,0,1196,0,1177,1555200,1180,1555200,1182,1555200,1184,1555200,1187,1824000,1189,1824000,1191,1824000,1193,1958400,1179,50,1182,30,1184,20,1186,30,1188,77,1191,0,1193,0,1195,0,
1290,3,1280,2556752,1288,1583787,750980,1295,0,1295,0,1277,1555200,1280,1555200,1282,1478400,1284,1478400,1286,1958400,1288,1958400,1290,1958400,1293,1958400,1279,60,1281,40,1284,33,1286,10,1288,55,1290,0,1292,0,1294,0,
1393,3,1381,2557724,1390,1171918,339111,1397,0,1398,0,1378,1555200,1381,1555200,1383,1555200,1386,1555200,1388,633600,1390,633600,1393,1248000,1395,1248000,1379,54,1383,70,1385,12,1387,25,1389,10,1392,0,1395,0,1397,0,
1490,3,1480,2558036,1488,1849536,1016729,1495,0,1495,0,1478,1555200,1481,1555200,1483,1555200,1485,1555200,1486,1958400,1488,1958400,1490,1958400,1493,1958400,1479,55,1482,20,1484,10,1486,25,1488,100,1490,0,1493,0,1495,0,
1592,3,1581,2558404,1590,1439720,606913,1597,0,1598,0,1578,1555200,1582,1555200,1584,1555200,1586,1555200,1588,1958400,1591,1958400,1593,1958400,1595,633600,1580,60,1584,50,1586,54,1588,22,1590,10,1592,0,1595,0,1597,0,
1692,3,1681,2558316,1690,1370167,537360,1697,0,1698,0,1679,1555200,1682,1555200,1684,1555200,1686,1555200,1688,1536000,1690,1536000,1692,1536000,1695,1536000,1680,62,1683,22,1685,54,1687,10,1690,44,1692,0,1694,0,1697,0,
1789,3,1781,2557828,1788,1429438,596631,1793,0,1793,0,1779,1555200,1782,1555200,1783,1555200,1785,1555200,1786,1958400,1788,1958400,1790,1958400,1791,1958400,1781,50,1783,20,1785,11,1786,0,1788,80,1789,0,1791,0,1792,0,
1902,3,1884,2558552,1899,563531,0,1908,0,1909,0,1880,1248000,1885,1248000,1888,1248000,1892,1478400,1896,633600,1900,633600,1903,633600,1905,633600,1883,54,1888,41,1891,18,1895,0,1899,0,1902,0,1904,0,1907,0,
1997,3,1983,2559772,1994,1878359,1045552,2002,0,2003,0,1980,1555200,1984,1555200,1986,1555200,1989,1555200,1991,1536000,1995,1536000,1997,1536000,2000,1536000,1982,70,1986,60,1988,50,1991,33,1994,50,1997,55,2000,0,2002,0,
2093,3,2084,2558632,2090,2314443,1481636,2097,0,2097,0,2081,1555200,2084,1555200,2086,1555200,2087,1555200,2089,1958400,2091,1958400,2093,1958400,2095,1958400,2083,60,2085,30,2087,45,2089,20,2090,77,2093,100,2094,0,2096,0,
2193,3,2184,2559908,2191,2317561,1484754,2198,0,2199,0,2182,1555200,2185,1555200,2186,1555200,2188,1555200,2189,1958400,2191,1958400,2194,1958400,2196,1958400,2183,44,2186,63,2188,25,2189,27,2191,11,2193,100,2196,0,2198,0,
