App,Package,Start Time,Duration,Filename
"System",,"Aug 1, 2019 @ 12:49:53 PM","41 sec","Trepn_2019.08.01_124951.db"

Time  [ms],"Battery Status",Time  [ms],"Memory Usage [KB]",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU8 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"CPU5 Load [%]",Time  [ms],"CPU6 Load [%]",Time  [ms],"CPU7 Load [%]",Time  [ms],"CPU8 Load [%]",
12,3,9,2503300,11,2291144,1257141,13,180000,13,0,7,1555200,9,1555200,9,1555200,10,1555200,11,1958400,11,1958400,12,1958400,12,1958400,8,58,9,44,10,20,10,20,11,54,12,50,12,45,13,0,
113,3,109,2526932,112,3471185,2437182,114,180000,114,0,108,1555200,109,1555200,110,1555200,111,1555200,112,1958400,112,1958400,113,1958400,114,1958400,108,66,110,70,111,40,111,64,112,70,113,10,114,0,114,0,
215,3,210,2542012,215,2008834,974831,217,180000,218,0,208,1555200,210,1555200,212,1555200,213,1555200,213,1958400,215,1958400,215,1958400,216,1958400,209,58,211,54,212,36,213,36,214,55,215,81,216,22,216,0,
314,3,310,2543428,313,3004422,1970419,315,180000,315,0,309,1555200,311,1555200,311,1555200,312,1555200,313,1958400,313,1958400,314,1958400,314,1958400,310,62,311,75,312,42,312,61,313,18,314,20,314,0,315,0,
428,3,414,2543272,425,2213742,1179739,433,180000,433,0,409,1555200,415,1555200,418,1555200,421,1555200,423,1958400,426,1958400,429,1958400,431,1958400,412,50,417,45,421,11,423,40,425,90,428,0,431,0,432,0,
514,3,511,2544744,514,1706395,672392,515,180000,516,0,510,1555200,511,1555200,512,1555200,513,1555200,513,1958400,514,1958400,514,1958400,515,1958400,511,55,512,66,512,30,513,50,514,25,514,12,515,0,515,0,
618,3,612,2544696,616,1538204,504201,620,305000,620,0,611,1555200,613,1555200,614,1555200,615,1555200,616,1248000,617,1248000,618,1248000,619,1248000,612,37,613,41,614,54,615,30,616,50,617,10,619,0,620,0,
666,3,662,2544952,665,1605493,571490,668,305000,668,0,661,1555200,663,1555200,663,1555200,664,1555200,665,1824000,666,1824000,666,1824000,667,1824000,662,66,663,0,664,20,665,0,665,100,666,33,667,0,668,0,
766,3,763,2545552,765,1607481,573478,767,180000,767,0,762,1555200,763,1555200,764,1555200,764,1555200,765,1958400,766,1958400,766,1958400,767,1958400,762,22,764,44,764,11,765,30,765,50,766,0,767,0,767,0,
876,3,865,2545832,873,1532048,498045,881,180000,881,0,862,1555200,865,1555200,867,1555200,869,1555200,871,1824000,874,1824000,876,1824000,878,1824000,864,44,867,36,869,22,871,20,873,70,876,0,878,0,880,0,
967,3,964,2545792,966,1227673,193670,968,180000,968,0,963,1248000,964,1248000,965,1248000,965,1248000,966,1958400,967,1958400,967,1958400,968,1958400,964,30,965,10,965,25,966,11,966,80,967,0,968,0,968,0,
1067,3,1064,2546656,1066,1283446,249443,1068,180000,1068,0,1063,1555200,1064,1555200,1065,1555200,1065,1555200,1066,1958400,1066,1958400,1067,1958400,1068,1958400,1064,69,1064,40,1065,58,1066,12,1066,0,1067,0,1067,0,1068,0,
1168,3,1164,2547248,1168,1792175,758172,1170,180000,1170,0,1163,1555200,1165,1555200,1165,1555200,1166,1555200,1167,1958400,1168,1958400,1169,1958400,1169,1958400,1164,55,1165,20,1166,18,1167,9,1168,100,1168,0,1169,0,1170,0,
1268,3,1265,2547536,1267,2172190,1138187,1269,180000,1269,0,1263,1555200,1265,1555200,1265,1555200,1266,1555200,1267,1958400,1267,1958400,1268,1958400,1268,1958400,1264,60,1265,61,1266,22,1266,12,1267,100,1268,9,1268,0,1269,0,
1370,3,1365,2549976,1369,2074072,1040069,1372,180000,1372,0,1364,1555200,1366,1555200,1367,1555200,1367,1555200,1368,1958400,1369,1958400,1370,1958400,1371,1958400,1365,62,1366,25,1367,30,1368,11,1369,100,1370,55,1371,10,1372,0,
1469,3,1465,2550380,1468,2546243,1512240,1470,180000,1471,0,1464,1555200,1466,1555200,1466,1555200,1467,1555200,1467,1958400,1468,1958400,1469,1958400,1469,1958400,1465,60,1466,30,1467,11,1467,10,1468,100,1469,50,1469,0,1470,0,
1576,3,1566,2554180,1574,2310098,1276095,1580,180000,1580,0,1565,1555200,1566,1555200,1569,1555200,1571,1555200,1572,1958400,1574,1958400,1576,1958400,1578,1958400,1565,44,1569,50,1570,11,1572,50,1574,63,1575,50,1577,9,1580,0,
1677,3,1668,2554472,1675,1996496,962493,1681,180000,1681,0,1665,1555200,1668,1555200,1670,1555200,1672,1555200,1674,1958400,1676,1958400,1678,1958400,1679,1958400,1667,11,1669,36,1671,11,1673,0,1675,90,1677,10,1679,0,1680,0,
1777,3,1767,2554976,1775,1324998,290995,1780,180000,1780,0,1765,1555200,1768,1555200,1769,1555200,1772,1555200,1773,1958400,1775,1958400,1777,1958400,1778,1958400,1767,63,1769,33,1771,54,1773,20,1775,0,1776,0,1778,0,1779,0,
1888,3,1874,2555080,1886,1401933,367930,1891,180000,1891,0,1866,1555200,1875,1555200,1879,1555200,1883,1555200,1885,1958400,1887,1958400,1889,1958400,1890,1958400,1871,10,1878,36,1882,27,1884,16,1886,72,1888,0,1890,0,1891,0,
1970,3,1967,2554492,1970,1526675,492672,1972,180000,1972,0,1966,1555200,1967,1555200,1968,1555200,1969,1555200,1969,1958400,1970,1958400,1970,1958400,1971,1958400,1967,66,1968,22,1968,11,1969,0,1970,77,1970,11,1971,0,1972,0,
2070,3,2067,2554820,2069,1041633,7630,2071,180000,2071,0,2066,1555200,2067,1555200,2068,1555200,2068,1555200,2069,1958400,2070,1958400,2070,1958400,2071,1958400,2067,58,2068,30,2068,11,2069,30,2069,0,2070,10,2071,0,2071,0,
2174,3,2169,2554880,2173,1607222,573219,2176,180000,2176,0,2167,1555200,2169,1555200,2170,1555200,2171,1555200,2172,1958400,2173,1958400,2174,1958400,2175,1958400,2168,54,2169,9,2171,18,2172,10,2173,80,2174,9,2175,0,2175,0,
2272,3,2269,2554336,2272,1338577,304574,2274,180000,2274,0,2267,1555200,2269,1555200,2270,1555200,2271,1555200,2271,1958400,2272,1958400,2272,1958400,2273,1958400,2268,40,2270,33,2270,10,2271,9,2272,55,2272,10,2273,0,2273,0,
2376,3,2371,2554744,2375,1159445,125442,2377,180000,2378,0,2368,1555200,2371,1555200,2372,1555200,2373,1555200,2374,1248000,2375,1248000,2376,1248000,2377,1248000,2370,50,2372,33,2373,30,2374,20,2375,20,2376,10,2376,0,2377,0,
